time,str_cdl,macd_ao_u,macd_ao_u_1,macd_ao_u_2,macd_ao_u_3,macd_ao_d,macd_ao_d_1,macd_ao_d_2,macd_ao_d_3,rsi_3_20,rsi_3_20_1,rsi_3_20_2,rsi_3_20_3,rsi_3_30,rsi_3_30_1,rsi_3_30_2,rsi_3_30_3,rsi_3_80,rsi_3_80_1,rsi_3_80_2,rsi_3_80_3,rsi_3_70,rsi_3_70_1,rsi_3_70_2,rsi_3_70_3,chandb,chands,chandb_sig,chands_sig,chandb_1,chandb_2,chandb_3,chands_1,chands_2,chands_3,chandb_sig_1,chandb_sig_2,chandb_sig_3,chands_sig_1,chands_sig_2,chands_sig_3,zlsmau,zlsmau_1,zlsmau_2,zlsmau_3,zlsmad,zlsmad_1,zlsmad_2,zlsmad_3,ema_50u,ema_50u_1,ema_50u_2,ema_50u_3,ema_50d,ema_50d_1,ema_50d_2,ema_50d_3,adx_30,adx_30_1,adx_30_2,adx_30_3,adx_25,adx_25_1,adx_25_2,adx_25_3,rsi_3,ema_50,zlsma,rsi,macd,macd_signal,sma_20,sma_50,ema_20,ema_50,bb_upper,bb_lower,bb_upper,bb_lower,stoch_k,stoch_d,stoch_k,stoch_d,atr,williams_r,cci,momentum,roc
2025-07-17 16:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.30322556233831,23105.74076347016,23153.917691115676,74.835960442409,12.97817072538237,6.102790374412843,23104.85,23105.234,23115.240110529736,23105.74076347016,23155.33493262122,23054.365067378778,23155.33493262122,23054.365067378778,87.81973203410453,92.693943188319,87.81973203410453,92.693943188319,13.9357142857147,-12.180267965895466,147.33887302830004,100.26726675344536,0.2672667534453402
2025-07-17 16:10:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.985948586133915,23106.878380588976,23158.1628615702,63.828703484128035,12.82209816573959,7.4466519326781935,23107.46,23105.654,23117.09819524119,23106.878380588976,23158.485149636792,23056.434850363206,23158.485149636792,23056.434850363206,72.5943970767352,84.16565164433592,72.5943970767352,84.16565164433592,14.00000000000052,-27.405602923264798,97.86414565825558,100.18447827508481,0.1844782750848169
2025-07-17 16:15:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.97681111274649,23107.31648331098,23158.135491993864,52.680395956895666,11.221504585784714,8.201622463299497,23109.11,23105.724,23117.188843313455,23107.31648331098,23159.20974892979,23059.010251070213,23159.20974892979,23059.010251070213,52.25334957368889,70.88915956150957,52.25334957368889,70.88915956150957,14.778571428571793,-47.74665042631111,45.20966148872999,100.10305595548674,0.1030559554867522
2025-07-17 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.180098817585858,23107.509954553687,23155.635188533004,49.45000236697463,9.376919819886098,8.436681934616818,23110.59,23105.618,23116.718477283604,23107.509954553687,23159.122892814412,23062.05710718559,23159.122892814412,23062.05710718559,45.188794153470404,56.67884693463153,45.188794153470404,56.67884693463153,14.421428571428935,-54.811205846529596,7.522221788413193,100.06710900884323,0.06710900884323552
2025-07-17 16:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.37233760139435,23107.197799473153,23149.106892432792,43.20288620844894,6.81176742700336,8.111699033094126,23111.515,23105.176,23115.083384208974,23107.197799473153,23158.35291874438,23064.67708125562,23158.35291874438,23064.67708125562,29.719853836782278,42.38733252131389,29.719853836782278,42.38733252131389,15.27142857142878,-70.28014616321772,-22.96390797975922,99.94159143860287,-0.05840856139713279
2025-07-17 16:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.811326661944889,23106.297885768327,23139.533955320232,37.11898985478708,3.5038928465146455,7.19013779577823,23111.66,23104.523999999998,23112.14687142717,23106.297885768327,23158.121162056857,23065.198837943142,23158.121162056857,23065.198837943142,20.565832426551857,31.824826805601543,20.565832426551857,31.824826805601543,17.721428571428987,-79.43416757344815,-75.80628464149527,99.8334973132521,-0.16650268674789978
2025-07-17 16:35:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.90050173738598,23105.21365495388,23128.665960743772,35.16696554890976,0.42559916839309153,5.837230070301202,23111.285,23103.79,23108.956693196007,23105.21365495388,23158.723881462465,23063.846118537534,23158.723881462465,23063.846118537534,14.472252448316322,21.585979570550183,14.472252448316322,21.585979570550183,18.978571428572,-85.52774755168367,-103.78889867646649,99.77519006167141,-0.22480993832858132
2025-07-17 16:40:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.63887865292594,23105.846452798825,23127.05103628616,54.72018414345021,1.4152482904537464,4.952833714331711,23112.620000000003,23103.752,23110.13700812972,23105.846452798825,23159.58821322298,23065.651786777024,23159.58821322298,23065.651786777024,60.93579978237118,31.991294885746484,60.93579978237118,31.991294885746484,21.06428571428608,-39.06420021762882,-16.555275524645587,99.90839384596771,-0.09160615403229432
2025-07-17 16:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.28185010373281,23107.003454649854,23129.541696797463,59.07795218110607,3.291295342893136,4.6205260400439965,23114.545,23104.075999999997,23112.5382454507,23107.003454649854,23161.94566511518,23067.144334884815,23161.94566511518,23067.144334884815,76.16974972796397,50.52593398621718,76.16974972796397,50.52593398621718,21.071428571428832,-23.83025027203603,54.8653805384627,99.95722664477591,-0.04277335522408034
2025-07-17 16:50:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.48121081337513,23108.789593683196,23135.507538093956,63.70015806181944,6.095704909985216,4.915561814032241,23117.885,23104.791999999998,23116.348888741108,23108.789593683196,23166.148586586663,23069.621413413333,23166.148586586663,23069.621413413333,94.88574537540734,77.33043162858087,94.88574537540734,77.33043162858087,21.8928571428574,-5.114254624592658,99.57756978381585,100.00777512607581,0.007775126075825934
2025-07-17 16:55:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,76.64396492776734,23110.360590009343,23139.38884620351,62.075834826938056,7.928268474966899,5.518103146219173,23121.05,23105.542,23119.444232670525,23110.360590009343,23168.683380607592,23073.416619392407,23168.683380607592,23073.416619392407,90.46587215601015,87.17378908646053,90.46587215601015,87.17378908646053,22.27142857142878,-9.53412784398985,96.93641958205694,100.006912268196,0.006912268195999719
2025-07-17 17:00:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.40049530075086,23112.76017471486,23147.704161286136,67.54393678439618,11.084513222747773,6.631385161524895,23125.019999999997,23106.77,23124.406686701903,23112.76017471486,23175.65238406923,23074.387615930762,23175.65238406923,23074.387615930762,97.52066115702416,94.2907595628139,97.52066115702416,94.2907595628139,22.721428571428728,-2.4793388429758414,136.6611203549724,100.15906806859812,0.15906806859810144
2025-07-17 17:05:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.85776523309207,23114.869579628004,23154.0453125,65.31020784534422,13.032174911488255,7.9115431115175685,23128.635,23107.928,23128.420335587434,23114.869579628004,23180.330190662113,23076.939809337884,23180.330190662113,23076.939809337884,92.92929292929234,93.63860874744226,92.92929292929234,93.63860874744226,23.16428571428592,-7.070707070707645,126.56639544122967,100.20979278096551,0.2097927809655226
2025-07-17 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.58055081851989,23116.30802748573,23155.055010330547,59.00579421461655,13.213024668631988,8.971839422940453,23131.374999999996,23108.764,23130.62316076958,23116.30802748573,23181.74658243041,23081.003417569584,23181.74658243041,23081.003417569584,79.15518824609696,89.86838077747119,79.15518824609696,89.86838077747119,24.092857142857092,-20.844811753903052,79.50799096309945,100.17003969756297,0.17003969756297752
2025-07-17 17:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.860953454221175,23117.00771268237,23151.906250000004,52.656071497493784,11.816106106070947,9.540692759566554,23132.43,23109.246,23130.959050220095,23117.00771268237,23182.06401211519,23082.795987884812,23182.06401211519,23082.795987884812,63.17722681359228,78.42056932966055,63.17722681359228,78.42056932966055,25.078571428571326,-36.82277318640772,33.560311284057214,100.14978646770176,0.1497864677017612
2025-07-17 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.913497062444947,23117.440743557574,23147.032935175637,50.60028352531464,10.100388074366492,9.652631822526542,23132.695,23109.65,23130.68199781818,23117.440743557574,23182.167734656985,23083.222265343014,23182.167734656985,23083.222265343014,57.57575757575747,66.63605754514894,57.57575757575747,66.63605754514894,26.121428571428364,-42.42424242424253,-12.917619763900873,100.18973975762695,0.18973975762695028
2025-07-17 17:25:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,63.33025038827366,23118.85679282983,23147.802066115724,57.98493400935993,10.675248441839358,9.857155146389106,23133.84,23110.588,23132.859902787877,23118.85679282983,23184.166090342675,23083.513909657326,23184.166090342675,23083.513909657326,80.99173553718967,67.24823997551317,80.99173553718967,67.24823997551317,27.142857142857142,-19.00826446281033,38.345218762504615,100.32454238007855,0.32454238007854797
2025-07-17 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,75.89259834727916,23120.88789899337,23151.937916451465,62.07875364541073,12.368084929839824,10.35934110307925,23135.245,23111.904000000002,23136.458959665222,23120.88789899337,23188.100372686346,23082.389627313652,23188.100372686346,23082.389627313652,95.1219512195142,77.89648144415382,95.1219512195142,77.89648144415382,28.421428571428415,-4.878048780485801,100.58855002676357,100.21322284382185,0.21322284382184828
