time,open,high,low,close,tick_volume,spread,real_volume,str_cdl,macd_ao_u,macd_ao_u_1,macd_ao_u_2,macd_ao_u_3,macd_ao_d,macd_ao_d_1,macd_ao_d_2,macd_ao_d_3,rsi_3_20,rsi_3_20_1,rsi_3_20_2,rsi_3_20_3,rsi_3_30,rsi_3_30_1,rsi_3_30_2,rsi_3_30_3,rsi_3_80,rsi_3_80_1,rsi_3_80_2,rsi_3_80_3,rsi_3_70,rsi_3_70_1,rsi_3_70_2,rsi_3_70_3,chandb,chands,chandb_sig,chands_sig,chandb_1,chandb_2,chandb_3,chands_1,chands_2,chands_3,chandb_sig_1,chandb_sig_2,chandb_sig_3,chands_sig_1,chands_sig_2,chands_sig_3,zlsmau,zlsmau_1,zlsmau_2,zlsmau_3,zlsmad,zlsmad_1,zlsmad_2,zlsmad_3,ema_50u,ema_50u_1,ema_50u_2,ema_50u_3,ema_50d,ema_50d_1,ema_50d_2,ema_50d_3,adx_30,adx_30_1,adx_30_2,adx_30_3,adx_25,adx_25_1,adx_25_2,adx_25_3,rsi_3,ema_50,zlsma,rsi,macd,macd_signal,sma_20,sma_50,ema_20,bb_upper,bb_lower,stoch_k,stoch_d,atr,williams_r,cci,momentum,roc
2025-03-26 02:40:00,20517.75,20520.13,20516.38,20520.13,333,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.26832647745474,20512.066257714927,0.0,63.67707985144396,1.2831333383292076,0.4071123734013644,20511.693,,20512.82696813668,20519.658827277224,20503.727172722774,100.0,95.21428571428088,4.656428571429517,-0.0,164.6520882359156,100.05426885757474,0.054268857574728255
2025-03-26 02:45:00,20519.25,20530.0,20518.5,20525.37,651,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,96.96451917602324,20512.957673914065,0.0,69.90118421123184,1.9430960576464713,0.7165926717945112,20512.1365,,20514.170091961416,20521.99259781864,20502.28040218136,83.38715464656912,94.46238488218971,5.137857142857944,-16.612845353430885,240.38671970550524,100.09201960354032,0.0920196035403359
2025-03-26 02:50:00,20525.5,20527.37,20522.0,20523.75,454,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,77.2854596094861,20513.661260730398,0.0,66.12847749910568,2.3218331378157018,1.0395471517633712,20512.5555,,20515.183913840458,20523.627839124332,20501.483160875665,75.6049960967984,86.33071691445583,5.146428571429299,-24.395003903201594,209.38476116939268,100.06460105799468,0.06460105799468566
2025-03-26 02:55:00,20523.13,20523.5,20519.38,20521.63,462,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,55.26763244880754,20514.16761489674,0.0,61.454088785127176,2.442841311927623,1.321537646255901,20512.9745,,20515.858941390252,20524.768229779223,20501.180770220777,64.94974874372436,74.64729982903062,5.155714285715086,-35.050251256275644,134.97243980280658,100.04329014880989,0.0432901488098915
2025-03-26 03:00:00,20520.62,20522.12,20509.37,20511.0,1019,450,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.58592582722798,20513.97111669672,0.0,44.47726441434637,1.7693735572975129,1.4114444869049125,20512.962,,20515.35489680466,20524.763952737623,20501.160047262376,20.43551088777559,53.663418576099446,5.771428571429299,-79.56448911222441,18.929426911042356,99.99327235552383,-0.006727644476170091
2025-03-26 03:05:00,20511.12,20514.62,20510.12,20513.0,593,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.884963985322486,20513.912218860118,0.0,47.42036210331064,1.3648103725172405,1.4020893899818399,20513.137,,20515.112668772897,20524.826062994278,20501.44793700572,26.881720430107524,37.42232668720249,5.752857142857725,-73.11827956989248,-7.888064854517154,100.01038473745874,0.010384737458728073
2025-03-26 03:10:00,20513.63,20518.37,20511.38,20518.12,535,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.327314101657564,20514.162063934742,0.0,54.124450743919546,1.3965667962002044,1.4009821941903533,20513.624499999998,,20515.41966679058,20525.28970056452,20501.959299435475,44.434050514497414,30.583760610793508,5.689285714286078,-55.565949485502586,40.11733925312289,100.02983619344774,0.02983619344773294
2025-03-26 03:15:00,20518.25,20523.87,20516.0,20517.87,600,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,55.764712423772316,20514.377878658877,0.0,53.7639814213576,1.3871744888274407,1.3982153011683074,20514.2245,,20515.66810408289,20525.435934905116,20503.013065094885,43.264733395694854,38.1935014467666,5.974285714285933,-56.735266604305146,81.7355600422982,100.01706121123877,0.017061211238756053
2025-03-26 03:20:00,20517.75,20522.5,20516.88,20519.62,484,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,65.6078810441724,20514.67730288021,0.0,55.97434326367626,1.4898658759666432,1.4165738245669461,20514.8995,,20516.06633404845,20525.673477372406,20504.125522627593,51.4499532273128,46.38291237916835,6.116428571428644,-48.5500467726872,77.50399126124542,100.02681080153573,0.02681080153572271
2025-03-26 03:25:00,20519.75,20520.25,20516.12,20517.5,429,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,46.71768530322025,20514.835696488568,0.0,52.688254774233805,1.3987655616583652,1.413007757407911,20515.417999999998,,20516.210008926515,20525.599447730787,20505.23655226921,41.53414405987183,45.41627689429316,6.187857142857216,-58.46585594012817,43.61185939412545,99.99814795680645,-0.0018520431935512764
2025-03-26 03:30:00,20517.37,20529.0,20516.0,20528.37,678,450,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,83.424114201345,20515.58254348442,0.0,64.27055632835388,2.106409120526223,1.5518255084733392,20516.3865,,20517.422587883502,20527.627380795235,20505.145619204766,92.09888511875454,61.694327468646385,6.821428571428571,-7.9011148812454595,132.7178090290356,100.04015569102145,0.04015569102144071
