date,time,open,high,low,close,tickvol,vol,spread
2025.09.18,02:52:00,146.867,146.885,146.862,146.878,75,0,0
2025.09.18,02:53:00,146.878,146.878,146.864,146.864,32,0,1
2025.09.18,02:54:00,146.861,146.873,146.856,146.872,47,0,0
2025.09.18,02:55:00,146.873,146.876,146.851,146.866,72,0,0
2025.09.18,02:56:00,146.866,146.873,146.836,146.842,86,0,0
2025.09.18,02:57:00,146.842,146.887,146.830,146.884,88,0,0
2025.09.18,02:58:00,146.884,146.908,146.877,146.885,92,0,0
2025.09.18,02:59:00,146.885,146.891,146.875,146.885,59,0,0
2025.09.18,03:00:00,146.884,146.937,146.873,146.937,117,0,0
2025.09.18,03:01:00,146.935,146.951,146.928,146.932,127,0,0
2025.09.18,03:02:00,146.932,146.932,146.870,146.912,148,0,0
2025.09.18,03:03:00,146.912,146.935,146.897,146.897,126,0,0
2025.09.18,03:04:00,146.896,146.947,146.873,146.947,100,0,0
2025.09.18,03:05:00,146.947,146.981,146.933,146.952,98,0,0
2025.09.18,03:06:00,146.956,146.975,146.941,146.961,84,0,0
2025.09.18,03:07:00,146.959,146.987,146.955,146.966,119,0,0
2025.09.18,03:08:00,146.966,146.976,146.958,146.971,80,0,0
2025.09.18,03:09:00,146.967,146.979,146.950,146.977,96,0,0
2025.09.18,03:10:00,146.978,147.007,146.976,146.984,102,0,0
2025.09.18,03:11:00,146.985,146.995,146.960,146.965,109,0,0
2025.09.18,03:12:00,146.965,146.972,146.943,146.947,74,0,0
2025.09.18,03:13:00,146.946,146.988,146.941,146.977,65,0,0
2025.09.18,03:14:00,146.977,146.995,146.974,146.976,71,0,0
2025.09.18,03:15:00,146.978,146.982,146.952,146.954,58,0,0
2025.09.18,03:16:00,146.954,146.971,146.951,146.971,57,0,0
2025.09.18,03:17:00,146.972,146.982,146.961,146.961,61,0,0
2025.09.18,03:18:00,146.965,146.993,146.955,146.993,59,0,0
2025.09.18,03:19:00,146.993,147.030,146.970,146.970,108,0,0
2025.09.18,03:20:00,146.973,146.975,146.932,146.955,88,0,0
2025.09.18,03:21:00,146.955,146.968,146.945,146.966,80,0,0
2025.09.18,03:22:00,146.967,146.968,146.921,146.927,75,0,0
2025.09.18,03:23:00,146.927,146.931,146.897,146.898,86,0,0
2025.09.18,03:24:00,146.899,146.911,146.897,146.910,51,0,0
2025.09.18,03:25:00,146.910,146.914,146.886,146.894,64,0,0
2025.09.18,03:26:00,146.894,146.900,146.869,146.872,98,0,0
2025.09.18,03:27:00,146.875,146.904,146.872,146.893,76,0,0
2025.09.18,03:28:00,146.893,146.923,146.893,146.916,58,0,0
2025.09.18,03:29:00,146.921,146.955,146.920,146.951,87,0,0
2025.09.18,03:30:00,146.952,146.968,146.944,146.967,94,0,0
2025.09.18,03:31:00,146.967,146.967,146.938,146.952,90,0,0
2025.09.18,03:32:00,146.953,146.987,146.952,146.973,103,0,0
2025.09.18,03:33:00,146.975,146.976,146.953,146.962,53,0,0
2025.09.18,03:34:00,146.962,146.964,146.899,146.910,95,0,0
2025.09.18,03:35:00,146.911,146.945,146.909,146.918,84,0,0
2025.09.18,03:36:00,146.920,146.939,146.916,146.932,75,0,0
